epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,188.572,0.79447,1.03332,0.31904,0.53518,0.92374,0.99455,1,0.99385,0.83257,0.99455,1,0.99385,0.84664,0.66772,0.66388,0.07603,0.40446,0.84141,0.000940855,0.000940855,0.000940855
46,192.131,0.79428,0.97471,0.28238,0.52756,0.9183,0.99442,1,0.9927,0.82231,0.99442,1,0.9927,0.8539,0.69443,0.60843,0.07182,0.39825,0.84506,0.000924352,0.000924352,0.000924352
47,197.129,0.78967,1.0015,0.2948,0.5147,0.92949,0.99499,0.9989,0.9923,0.8255,0.99499,0.9989,0.9923,0.85899,0.69101,0.62442,0.07078,0.39539,0.8408,0.000907848,0.000907848,0.000907848
48,200.654,0.77197,0.99061,0.30244,0.51446,0.91312,0.99451,1,0.9919,0.82662,0.99451,1,0.9919,0.84819,0.67214,0.61576,0.06953,0.38065,0.83589,0.000891345,0.000891345,0.000891345
49,204.114,0.75501,1.00603,0.29515,0.51354,0.90604,0.99457,1,0.993,0.82255,0.99457,1,0.993,0.84789,0.68602,0.59616,0.0678,0.3938,0.8393,0.000874842,0.000874842,0.000874842
50,208.562,0.80012,1.02708,0.29087,0.52747,0.91676,0.9946,1,0.9944,0.82944,0.9946,1,0.9944,0.85161,0.67547,0.60137,0.06605,0.38476,0.83724,0.000858338,0.000858338,0.000858338
51,212.817,0.77076,1.01004,0.27741,0.50988,0.904,0.99459,1,0.99445,0.83323,0.99459,1,0.99445,0.83623,0.6507,0.62402,0.0663,0.37618,0.83415,0.000841835,0.000841835,0.000841835
52,216.311,0.76143,0.9915,0.27379,0.50371,0.90234,0.995,0.99913,0.9942,0.83961,0.995,0.99913,0.9942,0.85622,0.6627,0.58897,0.06833,0.37671,0.8398,0.000825332,0.000825332,0.000825332
53,219.903,0.75831,0.97643,0.31016,0.50904,0.93066,0.99475,1,0.99275,0.83094,0.99475,1,0.99275,0.85338,0.67219,0.58688,0.0697,0.38506,0.83871,0.000808828,0.000808828,0.000808828
54,225.399,0.77979,0.97303,0.28407,0.5037,0.91322,0.99461,1,0.99255,0.83149,0.99461,1,0.99255,0.84724,0.66664,0.6188,0.06733,0.38927,0.83516,0.000792325,0.000792325,0.000792325
